patch,unit
1,160
1,161
1,197
1,229
1,265
1,282
1,284
1,326
1,365
2,199
2,217
2,248
2,287
2,293
2,506
2,507
3,96
3,148
3,290
3,302
3,455
3,477
3,490
4,16
4,84
4,126
4,136
4,361
4,365
4,370
4,385
4,386
4,391
4,392
5,419
5,453
6,18
6,29
6,79
6,96
6,130
6,226
6,229
6,381
6,383
7,0
7,19
7,99
7,133
7,216
7,217
7,304
7,365
7,369
7,386
7,511
7,512
7,515
8,82
8,454
9,51
9,80
9,113
9,300
9,320
9,344
9,384
9,390
9,508
9,513
10,52
10,54
10,83
10,117
10,120
10,121
10,156
10,219
10,221
10,307
10,329
11,17
11,20
11,257
11,340
12,31
12,175
12,192
12,338
12,354
12,491
13,7
13,53
13,132
13,134
13,286
13,287
13,442
13,491
14,103
14,195
14,196
14,214
14,321
15,17
15,33
15,65
15,67
15,79
15,242
15,318
15,321
