patch,unit
1,115
1,155
1,274
1,280
1,281
1,282
1,336
1,337
1,340
1,477
1,482
1,541
2,255
2,299
2,304
2,319
2,320
2,338
2,378
2,379
2,380
2,383
3,208
4,17
4,47
4,209
4,217
4,316
4,357
4,365
4,417
4,420
5,64
5,68
5,70
5,71
5,72
5,74
5,91
5,122
5,162
5,165
5,166
5,167
5,168
5,172
5,173
5,175
5,176
5,177
5,178
5,179
5,180
5,181
5,182
5,183
5,184
5,185
5,186
5,187
5,189
5,190
5,191
5,192
5,193
5,194
5,195
5,196
5,197
5,198
5,199
5,200
5,201
5,202
5,203
5,208
5,209
5,210
5,212
5,213
5,214
5,215
5,216
5,218
5,219
5,220
5,221
5,222
5,223
5,224
5,225
5,226
5,227
5,229
5,231
5,232
5,234
5,235
5,237
5,238
5,239
5,240
5,241
5,242
5,243
5,244
5,245
5,246
5,247
5,248
5,249
5,250
5,251
5,253
5,254
5,255
5,256
5,257
5,279
5,281
5,282
5,297
5,298
5,299
5,301
5,302
5,305
5,309
5,314
5,317
5,323
5,324
5,325
5,328
5,329
5,330
5,332
5,333
5,335
5,336
5,337
5,338
5,342
5,344
5,349
5,359
5,363
5,365
5,369
5,372
5,374
5,375
5,376
5,377
5,381
5,382
5,387
5,398
5,405
5,410
5,413
5,415
5,416
5,417
5,435
5,436
5,439
5,442
5,445
5,446
5,447
5,448
5,449
5,451
5,452
5,453
5,454
5,455
5,456
5,459
5,460
5,461
5,462
5,463
5,465
5,466
5,486
5,502
6,0
6,5
6,8
6,17
6,25
6,52
6,62
6,66
6,67
6,110
6,129
6,131
6,133
6,135
6,137
6,138
6,139
6,140
6,141
6,142
6,143
6,144
6,145
6,146
6,147
6,148
6,149
6,151
6,152
6,153
6,154
6,155
6,156
6,159
6,160
6,161
6,162
6,163
6,167
6,168
6,169
6,171
6,172
6,173
6,174
6,175
6,178
6,180
6,181
6,182
6,183
6,184
6,185
6,186
6,187
6,188
6,190
6,191
6,193
6,194
6,195
6,197
6,198
6,199
6,200
6,207
6,208
6,209
6,210
6,212
6,214
6,215
6,216
6,217
6,218
6,223
6,227
6,228
6,229
6,232
6,233
6,234
6,235
6,236
6,238
6,239
6,241
6,242
6,244
6,245
6,246
6,247
6,249
6,254
6,257
6,258
6,264
6,267
6,274
6,275
6,276
6,278
6,279
6,280
6,284
6,285
6,286
6,295
6,316
6,317
6,323
6,332
6,334
6,339
6,340
6,343
6,364
6,367
6,375
6,377
6,379
6,380
6,382
6,386
6,389
6,390
6,395
6,396
6,397
6,401
6,402
6,403
6,404
6,405
6,406
6,407
6,408
6,410
6,411
6,414
6,415
6,416
6,478
6,479
6,482
6,483
6,487
6,490
6,491
6,499
6,501
6,502
6,505
6,507
6,508
6,509
6,511
6,513
6,514
7,130
7,131
7,136
7,137
7,138
7,254
7,255
7,256
7,257
7,258
7,259
7,260
7,261
7,262
7,263
7,264
7,265
7,266
7,267
7,268
7,269
7,270
7,271
7,272
7,273
7,274
7,276
7,282
7,283
7,284
7,285
7,289
7,419
7,420
7,421
7,423
7,424
7,425
7,426
7,428
7,430
7,431
7,432
7,433
7,435
7,436
7,437
7,438
7,439
7,440
7,441
8,32
8,82
8,196
8,300
8,301
8,303
8,470
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
9,40
9,41
9,42
9,43
9,46
9,47
9,48
9,49
9,50
9,52
9,53
9,54
9,55
9,56
9,59
9,60
9,62
9,65
9,67
9,73
9,75
9,78
9,81
9,85
9,86
9,87
9,90
9,94
9,97
9,102
9,104
9,106
9,122
9,176
9,177
9,178
9,179
9,180
9,181
9,182
9,183
9,187
9,188
9,189
9,194
9,196
9,197
9,198
9,199
9,200
9,201
9,202
9,203
9,204
9,205
9,206
9,213
9,215
9,217
9,218
9,219
9,220
9,221
9,222
9,224
9,225
9,227
9,230
9,234
9,235
9,237
9,238
9,240
9,241
9,243
9,245
9,247
9,248
9,249
9,250
9,251
9,252
9,253
9,254
9,255
9,256
9,259
9,363
9,428
9,490
9,497
10,3
10,10
10,46
10,47
10,51
10,81
10,82
10,83
10,85
10,86
10,88
10,90
10,91
10,94
10,95
10,96
10,98
10,120
10,129
10,130
10,132
10,133
10,136
10,137
10,138
10,142
10,143
10,145
10,146
10,149
10,150
10,151
10,154
10,159
10,161
10,162
10,164
10,167
10,168
10,170
10,171
10,172
10,174
10,177
10,178
10,179
10,184
10,196
10,197
10,198
10,201
10,209
10,210
10,211
10,213
10,215
10,217
10,219
10,223
10,224
10,225
10,227
10,228
10,231
10,234
10,237
10,239
10,240
10,241
10,242
10,243
10,244
10,245
10,246
10,248
10,250
10,252
10,253
10,254
10,295
10,303
10,320
10,324
10,327
10,333
10,335
10,336
10,355
10,356
10,357
10,361
10,363
10,366
10,377
10,378
10,379
10,381
10,383
10,384
10,387
10,388
10,389
10,390
10,391
10,392
10,395
10,398
10,399
10,400
10,401
10,403
10,405
10,406
10,408
10,409
10,410
10,415
11,11
11,16
11,18
11,19
11,24
11,25
11,26
11,28
11,128
11,129
11,130
11,131
11,132
11,133
11,135
11,136
11,137
11,138
11,139
11,142
11,143
11,261
11,264
12,59
12,109
12,120
13,2
13,49
13,66
13,104
13,168
13,181
13,183
14,17
14,319
14,445
15,224
15,297
15,318
15,321
15,338
15,417
15,420
