patch,unit
1,98
1,115
1,132
1,148
1,151
1,231
1,248
1,325
1,347
1,367
1,501
2,33
2,50
2,114
2,115
2,165
2,182
2,194
2,199
2,233
2,255
2,257
2,309
2,370
2,391
2,431
2,481
2,483
3,14
3,32
3,48
3,49
3,81
3,146
3,180
3,181
3,183
3,198
3,199
3,217
3,236
3,248
3,290
3,312
3,313
3,314
3,315
3,333
3,334
3,356
3,377
3,379
3,399
3,480
3,481
3,493
4,1
4,103
4,108
4,286
4,358
4,359
4,472
4,528
4,561
4,691
5,27
5,30
5,103
5,214
5,291
6,31
6,130
6,211
6,360
7,34
7,65
7,129
7,162
7,227
8,17
8,49
8,208
8,337
8,378
8,380
9,116
9,301
9,304
9,364
9,405
9,439
9,481
9,493
10,128
10,278
10,279
10,430
10,433
10,493
10,505
11,65
11,98
11,100
11,214
11,248
11,347
11,391
11,393
11,411
11,472
11,483
11,484
11,498
11,499
11,513
11,514
11,538
12,137
12,201
13,401
13,456
13,618
13,655
14,17
14,18
14,34
14,71
14,101
14,167
14,187
14,188
14,196
14,201
14,203
14,205
14,236
14,253
14,271
14,311
14,393
14,415
14,416
14,434
14,482
14,508
14,522
15,32
15,49
15,82
15,132
15,135
15,136
15,218
15,283
15,286
15,287
15,290
15,348
15,349
15,389
15,411
15,432
15,437
15,469
