patch,unit
1,98
1,115
1,117
1,148
1,263
1,322
1,343
1,460
1,498
2,35
2,50
2,72
2,80
2,114
2,117
2,177
2,190
2,213
2,233
2,249
2,254
2,368
2,407
2,480
2,483
3,32
3,51
3,52
3,147
3,180
3,181
3,199
3,215
3,217
3,235
3,237
3,283
3,286
3,292
3,293
3,314
3,318
3,334
3,355
3,357
3,380
3,400
3,420
3,471
3,476
3,489
4,32
4,48
4,82
4,83
4,86
4,153
4,342
4,343
4,363
4,366
5,17
5,19
5,70
5,75
5,81
5,83
5,85
5,181
5,200
5,244
5,362
5,380
5,439
5,443
6,32
6,50
6,132
7,33
7,494
8,16
8,49
8,217
8,392
9,112
9,231
9,299
9,300
9,301
9,403
9,436
9,487
9,500
10,272
10,276
10,277
10,502
10,504
11,35
11,48
11,97
11,209
11,230
11,238
11,247
11,318
11,386
11,399
11,431
11,459
11,469
11,495
12,133
12,196
13,83
13,105
13,360
13,364
13,365
13,379
13,382
13,454
13,469
13,477
13,498
14,17
14,33
14,74
14,99
14,163
14,183
14,184
14,191
14,199
14,209
14,234
14,252
14,306
14,408
14,414
14,425
14,477
14,502
14,514
15,15
15,17
15,48
15,81
15,88
15,134
15,138
15,139
15,141
15,152
15,214
15,235
15,266
15,274
15,277
15,283
15,287
15,345
15,350
15,365
15,406
15,431
15,453
