patch,unit
1,160
1,197
1,229
1,282
1,284
1,326
1,365
2,149
2,199
2,248
2,287
2,293
2,507
3,96
3,148
3,477
3,490
4,16
4,84
4,136
4,365
4,391
4,392
5,419
5,453
6,29
6,79
6,96
6,130
6,229
6,381
6,383
7,0
7,99
7,216
7,217
7,304
7,386
7,511
8,82
8,454
9,80
9,164
9,300
9,320
9,344
9,384
9,508
10,54
10,117
10,120
10,121
10,156
10,219
10,221
10,307
11,17
11,20
11,257
12,31
12,192
12,338
12,354
12,491
13,7
13,53
13,132
13,286
13,287
13,491
14,103
14,214
14,321
15,17
15,33
15,65
15,79
15,242
15,318
15,321
