patch,unit
1,115
1,155
1,274
1,280
1,281
1,282
1,336
1,340
1,477
1,482
2,255
2,299
2,319
2,320
2,338
2,379
4,47
4,217
4,316
4,365
4,417
4,420
5,68
5,71
5,72
5,74
5,91
5,122
5,165
5,167
5,168
5,172
5,173
5,176
5,178
5,179
5,180
5,182
5,187
5,189
5,191
5,192
5,193
5,195
5,197
5,198
5,202
5,208
5,209
5,210
5,219
5,220
5,221
5,222
5,223
5,224
5,225
5,226
5,232
5,234
5,235
5,238
5,239
5,240
5,241
5,242
5,244
5,246
5,247
5,253
5,254
5,256
5,257
5,281
5,297
5,298
5,299
5,309
5,314
5,317
5,323
5,328
5,330
5,332
5,333
5,335
5,336
5,337
5,338
5,342
5,344
5,349
5,365
5,369
5,372
5,374
5,375
5,376
5,377
5,381
5,387
5,398
5,410
5,416
5,417
5,435
5,436
5,442
5,446
5,448
5,452
5,453
5,454
5,456
5,461
5,462
5,463
5,466
5,486
5,502
6,0
6,25
6,52
6,62
6,110
6,133
6,137
6,138
6,139
6,140
6,141
6,142
6,143
6,147
6,153
6,154
6,155
6,156
6,159
6,160
6,161
6,167
6,168
6,169
6,172
6,173
6,174
6,178
6,180
6,181
6,186
6,187
6,190
6,193
6,197
6,199
6,200
6,207
6,208
6,212
6,215
6,218
6,223
6,227
6,228
6,235
6,236
6,242
6,246
6,247
6,249
6,254
6,264
6,267
6,274
6,275
6,278
6,280
6,285
6,286
6,295
6,316
6,317
6,332
6,334
6,340
6,343
6,364
6,367
6,375
6,377
6,380
6,382
6,390
6,395
6,396
6,402
6,404
6,406
6,407
6,410
6,414
6,415
6,416
6,479
6,482
6,483
6,487
6,490
6,491
6,499
6,501
6,502
6,505
6,507
6,508
6,511
6,513
6,514
7,130
7,131
7,137
7,254
7,255
7,256
7,257
7,259
7,263
7,265
7,266
7,269
7,270
7,274
7,276
7,282
7,284
7,420
7,423
7,424
7,426
7,428
7,430
7,433
7,435
7,436
7,438
7,440
8,32
8,82
8,196
8,303
8,470
9,33
9,35
9,36
9,40
9,41
9,42
9,46
9,47
9,48
9,49
9,50
9,56
9,59
9,60
9,65
9,67
9,75
9,81
9,85
9,86
9,87
9,97
9,102
9,104
9,106
9,122
9,176
9,177
9,180
9,181
9,182
9,183
9,187
9,194
9,196
9,199
9,200
9,201
9,202
9,205
9,213
9,215
9,219
9,220
9,222
9,227
9,230
9,234
9,235
9,238
9,243
9,245
9,250
9,253
9,255
9,256
9,259
9,428
9,490
9,497
10,3
10,10
10,46
10,47
10,51
10,82
10,83
10,85
10,86
10,94
10,95
10,98
10,120
10,130
10,132
10,138
10,142
10,143
10,145
10,149
10,151
10,154
10,161
10,164
10,167
10,171
10,172
10,177
10,179
10,184
10,196
10,197
10,201
10,210
10,211
10,213
10,215
10,217
10,224
10,225
10,227
10,231
10,234
10,237
10,239
10,240
10,241
10,242
10,243
10,245
10,246
10,295
10,320
10,327
10,336
10,355
10,356
10,361
10,378
10,383
10,387
10,388
10,390
10,392
10,395
10,401
10,403
10,405
10,406
10,408
10,415
11,11
11,16
11,24
11,25
11,26
11,131
11,133
11,135
11,137
11,139
11,142
11,143
11,264
12,120
13,0
13,66
13,183
14,17
14,319
15,224
15,297
15,318
15,321
15,417
