,unit,patch
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,9,0
9,11,0
10,12,0
11,16,0
12,17,0
13,18,0
14,20,0
15,21,0
16,23,0
17,27,0
18,28,0
19,29,0
20,30,0
21,34,0
22,35,0
23,36,0
24,37,0
25,39,0
26,41,0
27,42,0
28,45,0
29,49,0
30,50,0
31,51,0
32,53,0
33,54,0
34,55,0
35,56,0
36,57,0
37,59,0
38,60,0
39,61,0
40,63,0
41,64,0
42,65,0
43,68,0
44,69,0
45,71,0
46,72,0
47,73,0
48,74,0
49,75,0
50,76,0
51,77,0
52,80,0
53,82,0
54,83,0
55,86,0
56,88,0
57,89,0
58,93,0
59,94,0
60,96,0
61,99,0
62,100,0
63,104,0
64,105,0
65,108,0
66,109,0
67,110,0
68,111,0
69,112,0
70,113,0
71,114,0
72,115,0
73,116,0
74,118,0
75,119,0
76,121,0
77,124,0
78,125,0
79,126,0
80,127,0
81,129,0
82,133,0
83,134,0
84,135,0
85,136,0
86,137,0
87,138,0
88,139,0
89,141,0
90,142,0
91,143,0
92,145,0
93,147,0
94,148,0
95,150,0
96,151,0
97,152,0
98,153,0
99,155,0
100,156,0
101,159,0
102,160,0
103,162,0
104,164,0
105,165,0
106,166,0
107,170,0
108,171,0
109,172,0
110,177,0
111,179,0
112,180,0
113,181,0
114,184,0
115,185,0
116,188,0
117,189,0
118,191,0
119,192,0
120,193,0
121,194,0
122,195,0
123,196,0
124,200,0
125,203,0
126,205,0
127,207,0
128,208,0
129,209,0
130,212,0
131,217,0
132,219,0
133,220,0
134,227,0
135,228,0
136,229,0
137,230,0
138,231,0
139,235,0
140,236,0
141,237,0
142,244,0
143,245,0
144,246,0
145,247,0
146,248,0
147,250,0
148,252,0
149,253,0
150,254,0
151,255,0
152,257,0
153,258,0
154,260,0
155,264,0
156,265,0
157,266,0
158,272,0
159,273,0
160,274,0
161,275,0
162,277,0
163,280,0
164,282,0
165,283,0
166,284,0
167,285,0
168,287,0
169,288,0
170,290,0
171,292,0
172,293,0
173,294,0
174,295,0
175,296,0
176,300,0
177,301,0
178,302,0
179,303,0
180,304,0
181,305,0
182,306,0
183,309,0
184,310,0
185,312,0
186,314,0
187,317,0
188,319,0
189,321,0
190,324,0
191,325,0
192,326,0
193,327,0
194,328,0
195,329,0
196,330,0
197,335,0
198,337,0
199,338,0
200,339,0
201,341,0
202,344,0
203,347,0
204,348,0
205,350,0
206,351,0
207,352,0
208,353,0
209,355,0
210,356,0
211,359,0
212,360,0
213,361,0
214,364,0
215,365,0
216,366,0
217,370,0
218,371,0
219,374,0
220,375,0
221,376,0
222,377,0
223,378,0
224,379,0
225,380,0
226,382,0
227,384,0
228,385,0
229,387,0
230,389,0
231,390,0
232,394,0
233,395,0
234,397,0
235,398,0
236,399,0
237,400,0
238,404,0
239,408,0
240,410,0
241,411,0
242,414,0
243,415,0
244,419,0
245,421,0
246,423,0
247,424,0
248,425,0
249,426,0
250,429,0
251,431,0
252,432,0
253,433,0
254,434,0
255,437,0
256,438,0
257,440,0
258,443,0
259,444,0
260,447,0
261,448,0
262,449,0
263,450,0
264,454,0
265,456,0
266,457,0
267,460,0
268,463,0
269,464,0
270,465,0
271,467,0
272,468,0
273,470,0
274,471,0
275,472,0
276,473,0
277,474,0
278,475,0
279,476,0
280,477,0
281,480,0
282,481,0
283,482,0
284,483,0
285,484,0
286,485,0
287,486,0
288,489,0
289,491,0
290,496,0
291,497,0
292,499,0
293,500,0
294,502,0
295,504,0
296,505,0
297,506,0
298,509,0
299,510,0
300,511,0
301,512,0
302,513,0
303,514,0
304,517,0
305,518,0
306,523,0
307,525,0
308,527,0
309,528,0
310,529,0
311,530,0
312,531,0
313,532,0
314,533,0
315,540,0
316,541,0
317,542,0
318,544,0
319,545,0
320,546,0
321,547,0
322,548,0
323,550,0
324,552,0
325,553,0
326,555,0
327,556,0
328,557,0
329,560,0
330,562,0
331,563,0
332,565,0
333,566,0
334,567,0
335,568,0
336,569,0
337,570,0
338,572,0
339,573,0
340,575,0
341,577,0
342,579,0
343,580,0
344,582,0
345,585,0
346,587,0
347,588,0
348,589,0
349,590,0
350,591,0
351,593,0
352,596,0
353,597,0
354,598,0
355,599,0
356,600,0
357,601,0
358,602,0
359,603,0
360,607,0
361,608,0
362,612,0
363,613,0
364,614,0
365,615,0
366,616,0
367,617,0
368,620,0
369,624,0
370,115,1
371,155,1
372,274,1
373,280,1
374,281,1
375,282,1
376,336,1
377,337,1
378,340,1
379,477,1
380,482,1
381,541,1
382,543,1
383,255,2
384,299,2
385,300,2
386,304,2
387,318,2
388,319,2
389,320,2
390,338,2
391,378,2
392,379,2
393,380,2
394,383,2
395,208,3
396,16,4
397,17,4
398,47,4
399,209,4
400,217,4
401,316,4
402,357,4
403,365,4
404,417,4
405,420,4
406,64,5
407,68,5
408,70,5
409,71,5
410,72,5
411,74,5
412,91,5
413,122,5
414,162,5
415,165,5
416,166,5
417,167,5
418,168,5
419,172,5
420,173,5
421,175,5
422,176,5
423,177,5
424,178,5
425,179,5
426,180,5
427,181,5
428,182,5
429,183,5
430,184,5
431,185,5
432,186,5
433,187,5
434,189,5
435,190,5
436,191,5
437,192,5
438,193,5
439,194,5
440,195,5
441,196,5
442,197,5
443,198,5
444,199,5
445,200,5
446,201,5
447,202,5
448,203,5
449,208,5
450,209,5
451,210,5
452,212,5
453,213,5
454,214,5
455,215,5
456,216,5
457,218,5
458,219,5
459,220,5
460,221,5
461,222,5
462,223,5
463,224,5
464,225,5
465,226,5
466,227,5
467,229,5
468,231,5
469,232,5
470,234,5
471,235,5
472,237,5
473,238,5
474,239,5
475,240,5
476,241,5
477,242,5
478,243,5
479,244,5
480,245,5
481,246,5
482,247,5
483,248,5
484,249,5
485,250,5
486,251,5
487,253,5
488,254,5
489,255,5
490,256,5
491,257,5
492,279,5
493,281,5
494,282,5
495,297,5
496,298,5
497,299,5
498,301,5
499,302,5
500,305,5
501,309,5
502,314,5
503,317,5
504,323,5
505,324,5
506,325,5
507,328,5
508,329,5
509,330,5
510,332,5
511,333,5
512,335,5
513,336,5
514,337,5
515,338,5
516,342,5
517,344,5
518,349,5
519,359,5
520,363,5
521,365,5
522,369,5
523,372,5
524,374,5
525,375,5
526,376,5
527,377,5
528,381,5
529,382,5
530,387,5
531,398,5
532,405,5
533,410,5
534,413,5
535,415,5
536,416,5
537,417,5
538,435,5
539,436,5
540,439,5
541,442,5
542,445,5
543,446,5
544,447,5
545,448,5
546,449,5
547,451,5
548,452,5
549,453,5
550,454,5
551,455,5
552,456,5
553,459,5
554,460,5
555,461,5
556,462,5
557,463,5
558,465,5
559,466,5
560,486,5
561,502,5
562,0,6
563,5,6
564,8,6
565,17,6
566,25,6
567,52,6
568,62,6
569,66,6
570,67,6
571,110,6
572,129,6
573,131,6
574,133,6
575,135,6
576,137,6
577,138,6
578,139,6
579,140,6
580,141,6
581,142,6
582,143,6
583,144,6
584,145,6
585,146,6
586,147,6
587,148,6
588,149,6
589,151,6
590,152,6
591,153,6
592,154,6
593,155,6
594,156,6
595,159,6
596,160,6
597,161,6
598,162,6
599,163,6
600,167,6
601,168,6
602,169,6
603,171,6
604,172,6
605,173,6
606,174,6
607,175,6
608,178,6
609,180,6
610,181,6
611,182,6
612,183,6
613,184,6
614,185,6
615,186,6
616,187,6
617,188,6
618,190,6
619,191,6
620,193,6
621,194,6
622,195,6
623,197,6
624,198,6
625,199,6
626,200,6
627,207,6
628,208,6
629,209,6
630,210,6
631,212,6
632,214,6
633,215,6
634,216,6
635,217,6
636,218,6
637,223,6
638,227,6
