,unit,patch
0,0,0
1,207,0
2,208,0
3,219,0
4,227,0
5,353,0
6,525,0
7,569,0
8,579,0
9,115,1
10,155,1
11,274,1
12,280,1
13,281,1
14,282,1
15,336,1
16,337,1
17,340,1
18,477,1
19,482,1
20,541,1
21,543,1
22,255,2
23,299,2
24,304,2
25,318,2
26,319,2
27,320,2
28,338,2
29,379,2
30,380,2
31,208,3
32,17,4
33,47,4
34,209,4
35,217,4
36,316,4
37,357,4
38,365,4
39,417,4
40,420,4
41,64,5
42,68,5
43,70,5
44,71,5
45,72,5
46,74,5
47,91,5
48,122,5
49,162,5
50,165,5
51,166,5
52,167,5
53,168,5
54,172,5
55,173,5
56,175,5
57,176,5
58,177,5
59,178,5
60,179,5
61,180,5
62,181,5
63,182,5
64,183,5
65,184,5
66,185,5
67,186,5
68,187,5
69,189,5
70,190,5
71,191,5
72,192,5
73,193,5
74,194,5
75,195,5
76,196,5
77,197,5
78,198,5
79,199,5
80,200,5
81,201,5
82,202,5
83,203,5
84,208,5
85,209,5
86,210,5
87,212,5
88,213,5
89,214,5
90,215,5
91,216,5
92,218,5
93,219,5
94,220,5
95,221,5
96,222,5
97,223,5
98,224,5
99,225,5
100,226,5
101,227,5
102,229,5
103,231,5
104,232,5
105,234,5
106,235,5
107,237,5
108,238,5
109,239,5
110,240,5
111,241,5
112,242,5
113,243,5
114,244,5
115,245,5
116,246,5
117,247,5
118,248,5
119,249,5
120,250,5
121,251,5
122,253,5
123,254,5
124,255,5
125,256,5
126,257,5
127,279,5
128,281,5
129,282,5
130,297,5
131,298,5
132,299,5
133,301,5
134,302,5
135,305,5
136,309,5
137,314,5
138,317,5
139,323,5
140,324,5
141,325,5
142,328,5
143,329,5
144,330,5
145,332,5
146,333,5
147,335,5
148,336,5
149,337,5
150,338,5
151,342,5
152,344,5
153,349,5
154,359,5
155,363,5
156,365,5
157,369,5
158,372,5
159,374,5
160,375,5
161,376,5
162,377,5
163,381,5
164,382,5
165,387,5
166,398,5
167,405,5
168,410,5
169,413,5
170,415,5
171,416,5
172,417,5
173,435,5
174,436,5
175,439,5
176,442,5
177,445,5
178,446,5
179,447,5
180,448,5
181,449,5
182,451,5
183,452,5
184,453,5
185,454,5
186,455,5
187,456,5
188,459,5
189,460,5
190,461,5
191,462,5
192,463,5
193,465,5
194,466,5
195,486,5
196,502,5
197,0,6
198,5,6
199,8,6
200,17,6
201,25,6
202,52,6
203,62,6
204,66,6
205,67,6
206,110,6
207,129,6
208,131,6
209,133,6
210,135,6
211,137,6
212,138,6
213,139,6
214,140,6
215,141,6
216,142,6
217,143,6
218,144,6
219,145,6
220,146,6
221,147,6
222,148,6
223,149,6
224,151,6
225,152,6
226,153,6
227,154,6
228,155,6
229,156,6
230,159,6
231,160,6
232,161,6
233,162,6
234,163,6
235,167,6
236,168,6
237,169,6
238,171,6
239,172,6
240,173,6
241,174,6
242,175,6
243,178,6
244,180,6
245,181,6
246,182,6
247,183,6
248,184,6
249,185,6
250,186,6
251,187,6
252,188,6
253,190,6
254,191,6
255,193,6
256,194,6
257,195,6
258,197,6
259,198,6
260,199,6
261,200,6
262,207,6
263,208,6
264,209,6
265,210,6
266,212,6
267,214,6
268,215,6
269,216,6
270,217,6
271,218,6
272,223,6
273,227,6
274,228,6
275,229,6
276,232,6
277,233,6
278,234,6
279,235,6
280,236,6
281,238,6
282,239,6
283,241,6
284,242,6
285,244,6
286,245,6
287,246,6
288,247,6
289,249,6
290,254,6
291,257,6
292,258,6
293,264,6
294,267,6
295,274,6
296,275,6
297,276,6
298,278,6
299,279,6
300,280,6
301,284,6
302,285,6
303,286,6
304,295,6
305,316,6
306,317,6
307,323,6
308,332,6
309,334,6
310,339,6
311,340,6
312,343,6
313,364,6
314,367,6
315,375,6
316,377,6
317,379,6
318,380,6
319,382,6
320,386,6
321,389,6
322,390,6
323,395,6
324,396,6
325,397,6
326,401,6
327,402,6
328,403,6
329,404,6
